--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:19:44 2025
--------------------------------------------------------------------------------
 {'name': 'loginwindow', 'pid': 377, 'username': 'root', 'vms': 402488.140625} 
 {'name': 'sociallayerd', 'pid': 14075, 'username': 'devashish', 'vms': 416920.484375} 


 {'name': 'GroupSessionService', 'pid': 14082, 'username': 'devashish', 'vms': 416943.359375} 


 {'name': 'ThemeWidgetControlViewService', 'pid': 15835, 'username': 'devashish', 'vms': 401796.4375} 


 {'name': 'zsh', 'pid': 21836, 'username': 'devashish', 'vms': 400778.46875} 


 {'name': 'UserNotificationCenter', 'pid': 22074, 'username': 'devashish', 'vms': 417141.6875} 


 {'name': 'MTLCompilerService', 'pid': 22078, 'username': 'devashish', 'vms': 416972.671875} 


 {'name': 'MTLCompilerService', 'pid': 22079, 'username': 'devashish', 'vms': 416936.515625} 


 {'name': 'SharingXPCHelper', 'pid': 23822, 'username': 'devashish', 'vms': 416910.328125} 


 {'name': 'XprotectService', 'pid': 23823, 'username': 'devashish', 'vms': 416953.390625} 


 {'name': 'zsh', 'pid': 23831, 'username': 'devashish', 'vms': 400770.1875} 


 {'name': 'DiskUnmountWatcher', 'pid': 23860, 'username': 'devashish', 'vms': 416911.234375} 


 {'name': 'USBAgent', 'pid': 23873, 'username': 'devashish', 'vms': 416910.828125} 


 {'name': 'mbuseragent', 'pid': 24503, 'username': 'devashish', 'vms': 416907.0625} 


 {'name': 'mdworker_shared', 'pid': 24752, 'username': 'devashish', 'vms': 416960.9375} 


 {'name': 'mdworker_shared', 'pid': 24760, 'username': 'devashish', 'vms': 416961.5} 


 {'name': 'mdworker_shared', 'pid': 24762, 'username': 'devashish', 'vms': 416960.9375} 


 {'name': 'mdworker_shared', 'pid': 24765, 'username': 'devashish', 'vms': 416961.5} 


 {'name': 'AXVisualSupportAgent', 'pid': 24767, 'username': 'devashish', 'vms': 401614.984375} 


 {'name': 'com.apple.mail.SpotlightIndexExtension', 'pid': 24837, 'username': 'devashish', 'vms': 416957.421875} 


 {'name': 'csimporter', 'pid': 24866, 'username': 'devashish', 'vms': 416953.84375} 


 {'name': 'Python', 'pid': 24885, 'username': 'devashish', 'vms': 400960.75} 


 {'name': 'QLPreviewGenerationExtension', 'pid': 50914, 'username': 'devashish', 'vms': 416986.890625} 


 {'name': 'storeuid', 'pid': 51370, 'username': 'devashish', 'vms': 417147.25} 


 {'name': 'WallpaperImageExtension', 'pid': 52178, 'username': 'devashish', 'vms': 401218.453125} 


 {'name': 'ShareSheetUI', 'pid': 56082, 'username': 'devashish', 'vms': 417182.140625} 


 {'name': 'AirDrop', 'pid': 56083, 'username': 'devashish', 'vms': 417263.9375} 


 {'name': 'PasswordBreachAgent', 'pid': 59431, 'username': 'devashish', 'vms': 416960.28125} 


 {'name': 'appstoreagent', 'pid': 68417, 'username': 'devashish', 'vms': 421327.6875} 


 {'name': 'passd', 'pid': 68465, 'username': 'devashish', 'vms': 416955.53125} 


 {'name': 'UIKitSystem', 'pid': 69779, 'username': 'devashish', 'vms': 401725.34375} 


 {'name': 'callservicesd', 'pid': 71614, 'username': 'devashish', 'vms': 416972.359375} 


 {'name': 'photolibraryd', 'pid': 72504, 'username': 'devashish', 'vms': 416998.453125} 


 {'name': 'ssh-agent', 'pid': 76553, 'username': 'devashish', 'vms': 416841.890625} 


 {'name': 'studentd', 'pid': 76641, 'username': 'devashish', 'vms': 416995.6875} 


 {'name': 'Electron', 'pid': 76698, 'username': 'devashish', 'vms': 1823942.65625} 


 {'name': 'chrome_crashpad_handler', 'pid': 76702, 'username': 'devashish', 'vms': 433293.453125} 


 {'name': 'Code Helper (GPU)', 'pid': 76703, 'username': 'devashish', 'vms': 433965.40625} 


 {'name': 'Code Helper', 'pid': 76704, 'username': 'devashish', 'vms': 433612.1875} 


 {'name': 'Code Helper', 'pid': 76720, 'username': 'devashish', 'vms': 1823125.703125} 


 {'name': 'Code Helper', 'pid': 76780, 'username': 'devashish', 'vms': 1823086.203125} 


 {'name': 'com.apple.appkit.xpc.openAndSavePanelService', 'pid': 82919, 'username': 'devashish', 'vms': 401585.53125} 


 {'name': 'QLPreviewGenerationExtension', 'pid': 82921, 'username': 'devashish', 'vms': 416979.765625} 


 {'name': 'extensionkitservice', 'pid': 90827, 'username': 'devashish', 'vms': 416920.828125} 


 {'name': 'MobileDeviceUpdater', 'pid': 92473, 'username': 'devashish', 'vms': 417110.921875} 


 {'name': 'assistantd', 'pid': 93107, 'username': 'devashish', 'vms': 416966.25} 


 {'name': 'syncdefaultsd', 'pid': 93354, 'username': 'devashish', 'vms': 416958.84375} 


 {'name': 'Siri', 'pid': 93898, 'username': 'devashish', 'vms': 401611.5625} 


 {'name': 'tccd', 'pid': 93907, 'username': 'devashish', 'vms': 416954.1875} 


 {'name': 'cloudd', 'pid': 93919, 'username': 'devashish', 'vms': 416965.890625} 


 {'name': 'SiriNCService', 'pid': 94190, 'username': 'devashish', 'vms': 416962.46875} 


 {'name': 'CloudTelemetryService', 'pid': 94195, 'username': 'devashish', 'vms': 401586.984375} 


 {'name': 'screencaptureui', 'pid': 96154, 'username': 'devashish', 'vms': 401653.65625} 


 {'name': 'contactsd', 'pid': 97600, 'username': 'devashish', 'vms': 416953.609375} 


 {'name': 'searchpartyuseragent', 'pid': 97633, 'username': 'devashish', 'vms': 416973.109375} 


 {'name': 'neagent', 'pid': 97634, 'username': 'devashish', 'vms': 416952.765625} 


 {'name': 'bird', 'pid': 97653, 'username': 'devashish', 'vms': 416955.15625} 


 {'name': 'SoftwareUpdateNotificationManager', 'pid': 97690, 'username': 'devashish', 'vms': 417108.515625} 


 {'name': 'audioaccessoryd', 'pid': 97691, 'username': 'devashish', 'vms': 416947.0625} 


 {'name': 'AssetCacheLocatorService', 'pid': 97692, 'username': 'devashish', 'vms': 416945.828125} 


 {'name': 'followupd', 'pid': 97697, 'username': 'devashish', 'vms': 416910.546875} 


 {'name': 'Keychain Circle Notification', 'pid': 97714, 'username': 'devashish', 'vms': 416961.140625} 


 {'name': 'cdpd', 'pid': 97715, 'username': 'devashish', 'vms': 416943.375} 


 {'name': 'CoreLocationAgent', 'pid': 97731, 'username': 'devashish', 'vms': 417099.734375} 


 {'name': 'triald', 'pid': 97739, 'username': 'devashish', 'vms': 416946.78125} 


 {'name': 'calaccessd', 'pid': 97749, 'username': 'devashish', 'vms': 416961.484375} 


 {'name': 'mediaanalysisd', 'pid': 97762, 'username': 'devashish', 'vms': 417679.609375} 


 {'name': 'knowledge-agent', 'pid': 97768, 'username': 'devashish', 'vms': 416955.5625} 


 {'name': 'UniversalControl', 'pid': 97776, 'username': 'devashish', 'vms': 416958.3125} 


 {'name': 'linkd', 'pid': 97779, 'username': 'devashish', 'vms': 416975.875} 


 {'name': 'coreautha', 'pid': 97900, 'username': 'devashish', 'vms': 401384.578125} 


 {'name': 'pkd', 'pid': 97902, 'username': 'devashish', 'vms': 416953.203125} 


 {'name': 'com.apple.geod', 'pid': 97906, 'username': 'devashish', 'vms': 416953.296875} 


 {'name': 'suggestd', 'pid': 97915, 'username': 'devashish', 'vms': 417144.359375} 


 {'name': 'ContextService', 'pid': 97944, 'username': 'devashish', 'vms': 417049.40625} 


 {'name': 'CoreServicesUIAgent', 'pid': 97945, 'username': 'devashish', 'vms': 402042.765625} 


 {'name': 'networkserviceproxy', 'pid': 97973, 'username': 'devashish', 'vms': 416966.140625} 


 {'name': 'keyboardservicesd', 'pid': 98139, 'username': 'devashish', 'vms': 416948.15625} 


 {'name': 'StatusKitAgent', 'pid': 98315, 'username': 'devashish', 'vms': 416949.453125} 


 {'name': 'bluetoothuserd', 'pid': 98493, 'username': 'devashish', 'vms': 416945.921875} 


