USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
devashish        10310   0.0  0.0 426917760   3440   ??  S     3:31PM   0:00.08 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
devashish        10309   0.0  0.2 426961520  14272   ??  S     3:31PM   0:00.80 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
devashish        10303   0.0  0.1 426950480   7552   ??  S     3:31PM   0:00.08 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
devashish        10265   0.0  0.2 411184080  12896   ??  Ss    3:26PM   0:00.25 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
devashish        10264   0.0  0.1 426952144   6208   ??  S     3:26PM   0:00.13 /usr/libexec/swtransparencyd
devashish        10231   0.0  0.2 426966448  13856   ??  S     3:22PM   0:01.83 /usr/libexec/replayd
root             10229   0.0  0.1 426957840   8960   ??  Ss    3:22PM   0:00.50 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
devashish        10227   0.0  0.1 426946064   6272   ??  S     3:22PM   0:00.07 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
devashish        10224   0.0  0.2 426963600  15744   ??  S     3:22PM   0:00.36 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
devashish        10223   0.0  0.0 426918032    240   ??  Ss    3:22PM   0:00.19 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
devashish        10222   0.0  0.1 426950064   6800   ??  S     3:22PM   0:00.19 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
root             10216   0.0  0.1 426951504   7664   ??  Ss    3:21PM   0:00.20 /usr/libexec/ospredictiond
devashish        10215   0.0  0.1 426912672   6960   ??  S     3:21PM   0:00.06 /usr/libexec/feedbackd
devashish        10211   0.0  0.0 426916816   4016   ??  S     3:19PM   0:00.36 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
devashish        10210   0.0  0.1 426916880   4736   ??  S     3:19PM   0:00.09 /usr/libexec/keychainsharingmessagingd
devashish        10209   0.0  0.1 427133424  11680   ??  S     3:19PM   0:00.68 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
devashish        10208   0.0  0.1 426916384   7056   ??  S     3:19PM   0:00.05 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
devashish        10206   0.0  0.0 426953744   3504   ??  Ss    3:19PM   0:00.68 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
devashish        10189   0.0  0.1 426896208   4592   ??  Ss    3:19PM   0:00.21 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
devashish        10188   0.0  0.1 411311488   5168   ??  Ss    3:19PM   0:17.78 /System/Library/PrivateFrameworks/MediaAnalysisAccess.framework/Versions/A/XPCServices/mediaanalysisd-access.xpc/Contents/MacOS/mediaanalysisd-access
devashish        10181   0.0  0.1 426916320   7616   ??  S     3:18PM   0:00.06 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
devashish        10180   0.0  0.1 426952256  12352   ??  S     3:18PM   0:00.41 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
devashish        10162   0.0  0.0 426916160   3344   ??  S     3:15PM   0:00.07 /usr/libexec/metrickitd
devashish        10150   0.0  0.1 412560528   9568   ??  S     3:14PM   0:00.36 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
devashish        10134   0.0  0.1 426913408   5712   ??  S     3:13PM   0:00.06 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged
devashish        10130   0.0  0.2 426954272  13392   ??  S     3:13PM   0:00.48 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/knowledgeconstructiond
devashish        10116   0.0  0.1 426960560  10064   ??  S     3:12PM   0:00.14 /usr/libexec/mlruntimed
root             10107   0.0  0.1 426964336  11664   ??  Ss    3:10PM   0:02.24 /usr/sbin/spindump
