--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:58:58 2025
--------------------------------------------------------------------------------
 {'pid': 377, 'name': 'loginwindow', 'username': 'root', 'vms': 402489.78125} 
 {'pid': 23860, 'name': 'DiskUnmountWatcher', 'username': 'devashish', 'vms': 416911.234375} 


 {'pid': 23873, 'name': 'USBAgent', 'username': 'devashish', 'vms': 416910.828125} 


 {'pid': 24503, 'name': 'mbuseragent', 'username': 'devashish', 'vms': 416907.0625} 


 {'pid': 24837, 'name': 'com.apple.mail.SpotlightIndexExtension', 'username': 'devashish', 'vms': 416957.421875} 


 {'pid': 24866, 'name': 'csimporter', 'username': 'devashish', 'vms': 416953.84375} 


 {'pid': 25368, 'name': 'zsh', 'username': 'devashish', 'vms': 400778.1875} 


 {'pid': 25640, 'name': 'helpd', 'username': 'devashish', 'vms': 416906.421875} 


 {'pid': 25641, 'name': 'SafariLaunchAgent', 'username': 'devashish', 'vms': 416952.71875} 


 {'pid': 26233, 'name': 'Brave Browser', 'username': 'devashish', 'vms': 434314.78125} 


 {'pid': 26235, 'name': 'chrome_crashpad_handler', 'username': 'devashish', 'vms': 433293.734375} 


 {'pid': 26239, 'name': 'Brave Browser Helper (GPU)', 'username': 'devashish', 'vms': 434038.703125} 


 {'pid': 26240, 'name': 'Brave Browser Helper', 'username': 'devashish', 'vms': 433928.875} 


 {'pid': 26241, 'name': 'Brave Browser Helper', 'username': 'devashish', 'vms': 433794.140625} 


 {'pid': 26250, 'name': 'Brave Browser Helper (Renderer)', 'username': 'devashish', 'vms': 1821727.546875} 


 {'pid': 26770, 'name': 'mdworker_shared', 'username': 'devashish', 'vms': 416960.9375} 


 {'pid': 26936, 'name': 'Python', 'username': 'devashish', 'vms': 401229.90625} 


 {'pid': 26940, 'name': 'AXVisualSupportAgent', 'username': 'devashish', 'vms': 401459.34375} 


 {'pid': 50914, 'name': 'QLPreviewGenerationExtension', 'username': 'devashish', 'vms': 416986.890625} 


 {'pid': 51370, 'name': 'storeuid', 'username': 'devashish', 'vms': 417147.25} 


 {'pid': 52178, 'name': 'WallpaperImageExtension', 'username': 'devashish', 'vms': 401218.453125} 


 {'pid': 56082, 'name': 'ShareSheetUI', 'username': 'devashish', 'vms': 417182.140625} 


 {'pid': 56083, 'name': 'AirDrop', 'username': 'devashish', 'vms': 417263.9375} 


 {'pid': 59431, 'name': 'PasswordBreachAgent', 'username': 'devashish', 'vms': 416960.28125} 


 {'pid': 68417, 'name': 'appstoreagent', 'username': 'devashish', 'vms': 421327.140625} 


 {'pid': 68465, 'name': 'passd', 'username': 'devashish', 'vms': 416955.53125} 


 {'pid': 69779, 'name': 'UIKitSystem', 'username': 'devashish', 'vms': 401725.34375} 


 {'pid': 71614, 'name': 'callservicesd', 'username': 'devashish', 'vms': 416971.8125} 


 {'pid': 72504, 'name': 'photolibraryd', 'username': 'devashish', 'vms': 416998.453125} 


 {'pid': 76553, 'name': 'ssh-agent', 'username': 'devashish', 'vms': 416841.890625} 


 {'pid': 76641, 'name': 'studentd', 'username': 'devashish', 'vms': 416995.6875} 


 {'pid': 76698, 'name': 'Electron', 'username': 'devashish', 'vms': 1823945.953125} 


 {'pid': 76702, 'name': 'chrome_crashpad_handler', 'username': 'devashish', 'vms': 433293.453125} 


 {'pid': 76703, 'name': 'Code Helper (GPU)', 'username': 'devashish', 'vms': 433857.796875} 


 {'pid': 76704, 'name': 'Code Helper', 'username': 'devashish', 'vms': 433612.1875} 


 {'pid': 76720, 'name': 'Code Helper', 'username': 'devashish', 'vms': 1823125.703125} 


 {'pid': 76780, 'name': 'Code Helper', 'username': 'devashish', 'vms': 1823085.65625} 


 {'pid': 82919, 'name': 'com.apple.appkit.xpc.openAndSavePanelService', 'username': 'devashish', 'vms': 401585.328125} 


 {'pid': 82921, 'name': 'QLPreviewGenerationExtension', 'username': 'devashish', 'vms': 416979.765625} 


